waypoint_idx,wp_x,wp_y,wp_z,link_id,link_point_idx,link_x,link_y,link_z,error_m
24,-125.854813796291,-417.845304991026,28.553572990171,A2256W000748,60371,-125.85481379629148,-417.84530499102647,28.55357299017097,6.635114874557503e-13
25,-125.612299993021,-417.408055723184,28.5539376747302,A2256W000748,60372,-125.6122999930208,-417.4080557231845,28.5539376747302,4.963638160851638e-13
26,-125.36978618975,-416.970806455342,28.5543023592894,A2256W000748,60373,-125.36978618975012,-416.9708064553425,28.55430235928943,5.240704272917405e-13
27,-125.127272386479,-416.5335571875,28.5546670438487,A2256W000748,60374,-125.12727238647943,-416.5335571875005,28.55466704384866,6.65941940602578e-13
28,-124.884758583209,-416.096307919658,28.5550317284079,A2256W000748,60375,-124.88475858320875,-416.0963079196585,28.55503172840789,5.719758689081717e-13
29,-124.642244779938,-415.659058651817,28.5553964129671,A2256W000748,60376,-124.64224477993807,-415.6590586518165,28.55539641296712,5.16501525151689e-13
30,-124.399305505079,-415.222045542958,28.5556231652199,A2256W000748,60377,-124.39930550507918,-415.2220455429577,28.555623165219917,3.8788084748251155e-13
31,-124.15636623022,-414.785032434099,28.5558499174727,A2256W000748,60378,-124.1563662302203,-414.78503243409887,28.555849917472713,3.1934924115609293e-13
32,-123.913426955361,-414.34801932524,28.5560766697255,A2256W000748,60379,-123.91342695536142,-414.34801932524005,28.55607666972551,4.160165522166735e-13
33,-123.670487680503,-413.911006216381,28.5563034219783,A2256W000748,60380,-123.67048768050253,-413.9110062163812,28.556303421978306,5.211723197616109e-13
34,-123.427548405644,-413.473993107522,28.5565301742311,A2256W000748,60381,-123.42754840564365,-413.4739931075224,28.556530174231103,5.334278619990147e-13
35,-123.184609130785,-413.036979998664,28.5567569264839,A2256W000748,60382,-123.18460913078476,-413.0369799986636,28.5567569264839,4.655004020764636e-13
36,-122.941669855926,-412.599966889805,28.5569836787367,A2256W000748,60383,-122.94166985592588,-412.59996688980476,28.556983678736696,2.5421149729252077e-13
37,-122.698730581067,-412.162953780946,28.5572104309895,A2256W000748,60384,-122.698730581067,-412.16295378094594,28.557210430989493,5.684341886080802e-14
38,-122.455791306208,-411.725940672087,28.5574371832423,A2256W000748,60385,-122.45579130620811,-411.7259406720871,28.55743718324229,1.6077746776921858e-13
