x,y,z
-14.198226928710938,-224.2213592529297,28.821796417236328
-13.959720611572266,-223.76097106933594,28.82318115234375
-13.752486228942871,-223.29122924804688,28.808916091918945
-13.573441505432129,-222.72186279296875,28.820659637451172
-13.433075904846191,-222.14418029785156,28.82163429260254
-13.308378219604492,-221.5409698486328,28.82539176940918
-13.187860488891602,-220.98397827148438,28.8268985748291
-13.063631057739258,-220.394287109375,28.82880973815918
-12.94002628326416,-219.84414672851562,28.8292236328125
-12.814762115478516,-219.2687225341797,28.81271743774414
-12.700698852539062,-218.7494354248047,28.828189849853516
-12.54890251159668,-218.1033935546875,28.83445930480957
-12.390649795532227,-217.4713134765625,28.835620880126953
-12.237918853759766,-216.8382110595703,28.838176727294922
-12.079231262207031,-216.2257843017578,28.838590621948242
-11.918089866638184,-215.60983276367188,28.83978271484375
-11.735877990722656,-214.99456787109375,28.841018676757812
-11.563657760620117,-214.43080139160156,28.843395233154297
-11.363173484802246,-213.84933471679688,28.844703674316406
-11.167350769042969,-213.29348754882812,28.846160888671875
-10.975704193115234,-212.76182556152344,28.847549438476562
-10.775623321533203,-212.2115478515625,28.849205017089844
-10.572819709777832,-211.68255615234375,28.85089874267578
-10.369898796081543,-211.17733764648438,28.852359771728516
-10.164841651916504,-210.66351318359375,28.854412078857422
-9.947531700134277,-210.16043090820312,28.855571746826172
-9.735245704650879,-209.67909240722656,28.857158660888672
-9.509998321533203,-209.21559143066406,28.85674285888672
-9.28604793548584,-208.75772094726562,28.856826782226562
-9.059866905212402,-208.30445861816406,28.8570499420166
-8.806352615356445,-207.79873657226562,28.846797943115234
-8.522195816040039,-207.2286376953125,28.85196304321289
-8.288856506347656,-206.76217651367188,28.8505916595459
-8.040133476257324,-206.26571655273438,28.859699249267578
-7.731084823608398,-205.6651611328125,28.862716674804688
-7.434231758117676,-205.09274291992188,28.86447525024414
-7.1636199951171875,-204.56436157226562,28.85388946533203
-6.89064884185791,-204.032958984375,28.857837677001953
-6.6101789474487305,-203.48745727539062,28.868915557861328
-6.306579113006592,-202.89743041992188,28.866003036499023
-6.016490936279297,-202.33367919921875,28.869829177856445
-5.703081130981445,-201.72427368164062,28.87618637084961
-5.402737140655518,-201.1375732421875,28.876495361328125
-5.099764823913574,-200.527587890625,28.87621307373047
-4.8265204429626465,-199.97637939453125,28.87761878967285
-4.526066303253174,-199.37637329101562,28.87855339050293
-4.253590106964111,-198.82717895507812,28.878639221191406
-3.96781587600708,-198.2501983642578,28.878938674926758
-3.711442232131958,-197.716064453125,28.879669189453125
-3.4459261894226074,-197.15052795410156,28.880325317382812
-3.189997673034668,-196.61436462402344,28.881175994873047
-2.933303117752075,-196.06082153320312,28.881986618041992
-2.6892409324645996,-195.53407287597656,28.883068084716797
-2.440337657928467,-194.9685516357422,28.8837833404541
-2.2285962104797363,-194.46107482910156,28.884109497070312
-2.0151615142822266,-193.91915893554688,28.884075164794922
-1.8227366209030151,-193.3950653076172,28.883636474609375
-1.6190218925476074,-192.8520965576172,28.883913040161133
-1.4320135116577148,-192.34603881835938,28.87859344482422
-1.1930885314941406,-191.7012176513672,28.870716094970703
-0.963077187538147,-191.079345703125,28.883878707885742
-0.7280728220939636,-190.4260711669922,28.88845443725586
-0.5302733778953552,-189.82264709472656,28.88869285583496
-0.32667893171310425,-189.15826416015625,28.889833450317383
-0.1519673466682434,-188.54092407226562,28.88956642150879
0.051919642835855484,-187.82882690429688,28.876901626586914
0.2501130700111389,-187.1508331298828,28.883846282958984
0.4593432545661926,-186.42922973632812,28.888580322265625
0.6521298885345459,-185.76087951660156,28.881677627563477
0.8102183938026428,-185.2132110595703,28.87179946899414
0.9741866588592529,-184.6457977294922,28.877647399902344
1.1340490579605103,-184.09274291992188,28.88419532775879
1.2855550050735474,-183.5662384033203,28.886241912841797
1.435149073600769,-183.03741455078125,28.88638687133789
1.5871225595474243,-182.50201416015625,28.886669158935547
1.731493353843689,-181.99237060546875,28.88727569580078
1.8733296394348145,-181.47598266601562,28.887666702270508
2.0116629600524902,-180.9622802734375,28.88772964477539
2.1494016647338867,-180.4574737548828,28.88770294189453
2.2881877422332764,-179.9414825439453,28.88796043395996
2.472898006439209,-179.18434143066406,28.888816833496094
2.577221632003784,-178.68182373046875,28.888498306274414
2.6713011264801025,-178.17230224609375,28.886629104614258
2.7634437084198,-177.67054748535156,28.884965896606445
