x,y,z
-131.689798,-428.331023,28.543960
-131.449671,-427.892458,28.544341
-131.209545,-427.453893,28.544722
-130.969419,-427.015328,28.545103
-130.729293,-426.576763,28.545484
-130.489167,-426.138198,28.545865
-130.244996,-425.701872,28.545037
-130.000824,-425.265547,28.544210
-129.756653,-424.829222,28.543383
-129.512482,-424.392897,28.542555
-129.268311,-423.956572,28.541728
-129.024139,-423.520246,28.540901
-128.779968,-423.083921,28.540073
-128.535797,-422.647596,28.539246
-128.291617,-422.211278,28.540900
-128.047436,-421.774960,28.542554
-127.803256,-421.338642,28.544208
-127.559076,-420.902324,28.545863
-127.314896,-420.466006,28.547517
-127.070716,-420.029689,28.549171
-126.826535,-419.593371,28.550825
-126.582355,-419.157053,28.552479
-126.339841,-418.719804,28.552844
-126.097328,-418.282554,28.553208
-125.854814,-417.845305,28.553573
-125.612300,-417.408056,28.553938
-125.369786,-416.970806,28.554302
-125.127272,-416.533557,28.554667
-124.884759,-416.096308,28.555032
-124.642245,-415.659059,28.555396
-124.399306,-415.222046,28.555623
-124.156366,-414.785032,28.555850
-123.913427,-414.348019,28.556077
-123.670488,-413.911006,28.556303
-123.427548,-413.473993,28.556530
-123.184609,-413.036980,28.556757
-122.941670,-412.599967,28.556984
-122.698731,-412.162954,28.557210
-122.455791,-411.725941,28.557437
-122.211935,-411.289439,28.557154
-121.968078,-410.852937,28.556872
-121.724221,-410.416435,28.556589
-121.480365,-409.979933,28.556306
-121.236508,-409.543432,28.556023
-120.992651,-409.106930,28.555740
-120.748795,-408.670428,28.555457
-120.504938,-408.233926,28.555175
-120.261081,-407.797424,28.554892
-120.018131,-407.360418,28.554034
-119.775181,-406.923411,28.553176
-119.532232,-406.486405,28.552318
-119.289282,-406.049399,28.551459
-119.046332,-405.612392,28.550601
-118.803382,-405.175386,28.549743
-118.560432,-404.738379,28.548885
-118.317482,-404.301373,28.548027
-118.073934,-403.864699,28.547768
-117.830387,-403.428024,28.547509
-117.586839,-402.991350,28.547250
-117.343292,-402.554675,28.546991
-117.099744,-402.118001,28.546731
-116.856196,-401.681327,28.546472
-116.612649,-401.244652,28.546213
-116.369914,-400.807526,28.546111
-116.127178,-400.370399,28.546009
-115.884443,-399.933273,28.545907
-115.641708,-399.496146,28.545804
-115.398973,-399.059020,28.545702
-115.156238,-398.621893,28.545600
-114.913503,-398.184766,28.545498
-114.670572,-397.747748,28.545754
-114.427642,-397.310730,28.546010
-114.184711,-396.873712,28.546266
-113.941781,-396.436694,28.546522
-113.698851,-395.999676,28.546778
-113.455920,-395.562658,28.547034
-113.211101,-395.126696,28.546628
-112.966281,-394.690733,28.546221
-112.721462,-394.254771,28.545815
-112.476643,-393.818808,28.545409
-112.231824,-393.382846,28.545003
-111.987004,-392.946883,28.544597
-111.742185,-392.510921,28.544191
-111.499940,-392.073522,28.543740
-111.257695,-391.636124,28.543289
-111.015450,-391.198726,28.542838
-110.773205,-390.761328,28.542387
-110.530960,-390.323930,28.541936
-110.288715,-389.886532,28.541485
-110.046470,-389.449133,28.541034
-109.804225,-389.011735,28.540583
-109.561980,-388.574337,28.540133
-109.320723,-388.136393,28.539717
-109.079465,-387.698450,28.539302
-108.838207,-387.260506,28.538887
-108.596950,-386.822562,28.538472
-108.355692,-386.384619,28.538057
-108.114435,-385.946675,28.537642
-107.871790,-385.509498,28.537665
-107.629145,-385.072322,28.537689
-107.386500,-384.635145,28.537713
-107.143856,-384.197968,28.537736
-106.901211,-383.760791,28.537760
-106.658566,-383.323615,28.537783
-106.415921,-382.886438,28.537807
-106.173277,-382.449261,28.537831
-105.930632,-382.012084,28.537854
-105.689391,-381.574132,28.538134
-105.448150,-381.136179,28.538414
-105.206909,-380.698226,28.538693
-104.965668,-380.260273,28.538973
-104.724427,-379.822320,28.539253
-104.483186,-379.384367,28.539532
-104.241945,-378.946414,28.539812
-104.000704,-378.508462,28.540092
-103.755916,-378.072483,28.538922
-103.511128,-377.636504,28.537751
-103.266340,-377.200526,28.536581
-103.021551,-376.764547,28.535411
-102.776763,-376.328568,28.534241
-102.531975,-375.892590,28.533070
-102.287187,-375.456611,28.531900
-102.042399,-375.020632,28.530730
-101.800322,-374.583144,28.528991
-101.558245,-374.145656,28.527251
-101.316168,-373.708169,28.525512
-101.074090,-373.270681,28.523772
-100.832013,-372.833193,28.522033
-100.589936,-372.395705,28.520293
-100.347859,-371.958217,28.518554
-100.105782,-371.520729,28.516814
