x,y,z
-131.689797550614,-428.331022937782,28.5439602819543
-131.449698491416,-427.892507288206,28.5443410961127
-131.20959943115,-427.453991639278,28.5447219102688
-130.969500429575,-427.01547595781,28.545102724428
-130.729401081244,-426.576960468313,28.5454835386297
-130.48930340664,-426.138444052312,28.545864353443
-130.245160872058,-425.702166677247,28.5450378170053
-130.001016350191,-425.265890402246,28.5442106036237
-129.756872458257,-424.829613778545,28.5433833903436
-129.512728371448,-424.393337262717,28.5425561770686
-129.268584343705,-423.957060714194,28.5417289637946
-129.024440298888,-423.520784175119,28.5409017505205
-128.780296256579,-423.084507634671,28.5400745372463
-128.536152223871,-422.648231088842,28.5392473239722
-128.291998282532,-422.211960088116,28.5408976446445
-128.047844328269,-421.775689094621,28.5425515686135
-127.803690380686,-421.339418097396,28.5442054925824
-127.559536419432,-420.90314710779,28.5458594165515
-127.315382508521,-420.466876090134,28.5475133405204
-127.071228400429,-420.030605182336,28.549167264493
-126.827075066271,-419.594333843353,28.5508211884921
-126.582918700872,-419.158064193177,28.5524751129564
-126.340429739238,-418.720865575598,28.5528427370845
-126.097943958831,-418.283665185648,28.5532073805621
-125.855457284072,-417.846465293971,28.5535720240311
-125.612970864336,-417.409265260221,28.5539366675
-125.370484356076,-416.972065275756,28.5543013109686
-125.12799793927,-416.534865240473,28.5546659544375
-124.885511238411,-416.097665362926,28.5550305979066
-124.643025616962,-415.660464886011,28.5553952413824
-124.400114633649,-415.223500600464,28.5556224111744
-124.157202527457,-414.78653693842,28.5558491378415
-123.914290733477,-414.349573103012,28.5560758645082
-123.671378849628,-413.912609317512,28.5563025911749
-123.428467003729,-413.475645510912,28.5565293178416
-123.185555097033,-413.03868173818,28.5567560445083
-122.942643400347,-412.601717848416,28.5569827711751
-122.699730904198,-412.164754404179,28.5572094978429
-122.456821471974,-411.727789252467,28.5574362245305
-122.212994801589,-411.29133526295,28.5571555844701
-121.969164951793,-410.854883045267,28.5568727899253
-121.725335975391,-410.418430340857,28.5565899953827
-121.481506763206,-409.981977767845,28.5563072008401
-121.237677599373,-409.545525167887,28.5560244062976
-120.993848484982,-409.109072540374,28.5557416117552
